,date,open,high,low,close,volume
0,2013-09-11 16:00:00,15.0,16.0,12.0,12.0,0.35
1,2013-09-12 16:00:00,16.0,16.1,15.9,15.9,10.411
2,2013-09-13 16:00:00,15.9,16.0,15.6,16.0,361.099
3,2013-09-14 16:00:00,16.3,16.3,14.5,14.5,17.434
4,2013-09-16 16:00:00,16.0,16.0,14.9,14.9,0.134
5,2013-09-17 16:00:00,15.89,15.89,15.89,15.89,0.012
6,2013-09-18 16:00:00,15.8,15.8,14.9,14.9,3.904
7,2013-09-19 16:00:00,15.6,15.6,15.6,15.6,1.18
8,2013-09-21 16:00:00,14.92,14.92,14.92,14.92,9.6
9,2013-09-22 16:00:00,14.92,14.92,14.9,14.9,9.182
10,2013-09-23 16:00:00,14.5,14.5,14.5,14.5,0.114
11,2013-09-24 16:00:00,15.0,15.0,14.5,14.5,2.506
12,2013-09-25 16:00:00,14.5,14.5,14.0,14.5,27.667
13,2013-09-26 16:00:00,14.4,14.4,14.0,14.0,174.869
14,2013-09-27 16:00:00,13.6,13.61,13.2,13.3,1120.246
15,2013-09-28 16:00:00,13.2,13.78,13.13,13.18,73.0
16,2013-09-29 16:00:00,13.6,13.6,13.28,13.28,0.04
17,2013-09-30 16:00:00,13.6,14.01,13.6,14.01,14.1
18,2013-10-01 16:00:00,14.99,15.0,14.03,14.99,173.367
19,2013-10-02 16:00:00,14.05,14.05,13.0,13.1,2761.139
20,2013-10-03 16:00:00,14.98,14.98,14.98,14.98,0.69
21,2013-10-04 16:00:00,14.5,14.5,13.0,13.0,98.965
22,2013-10-05 16:00:00,13.78,13.78,13.78,13.78,2.0
23,2013-10-06 16:00:00,13.69,13.69,13.1,13.1,3.504
24,2013-10-07 16:00:00,13.0,13.0,12.65,13.0,134.897
25,2013-10-08 16:00:00,12.65,12.99,12.0,12.45,1700.478
26,2013-10-09 16:00:00,12.45,13.2,11.58,13.2,3070.21
27,2013-10-10 16:00:00,13.2,13.7,12.15,12.8,7853.554
28,2013-10-11 16:00:00,12.57,13.5,12.53,12.69,1914.944
29,2013-10-12 16:00:00,12.69,13.19,12.6,13.09,2821.81
30,2013-10-13 16:00:00,13.09,13.42,12.82,13.02,2499.197
31,2013-10-14 16:00:00,13.0,13.0,12.6,12.6,1423.561
32,2013-10-15 16:00:00,12.54,12.8,11.8,11.9,4579.425
33,2013-10-16 16:00:00,11.93,12.15,11.89,12.04,2823.785
34,2013-10-17 16:00:00,12.05,12.06,11.8,11.91,1032.438
35,2013-10-18 16:00:00,11.91,11.95,11.2,11.53,8160.826
36,2013-10-19 16:00:00,11.54,11.8,11.16,11.74,1127.712
37,2013-10-20 16:00:00,11.72,11.72,11.2,11.47,12079.205
38,2013-10-21 16:00:00,11.23,11.65,11.0,11.02,9783.114
39,2013-10-22 16:00:00,11.27,11.97,10.89,11.79,10927.538
40,2013-10-23 16:00:00,11.63,14.3,11.61,13.28,31463.047
41,2013-10-24 16:00:00,13.1,16.2,13.0,15.0,18987.52
42,2013-10-25 16:00:00,14.89,14.89,13.3,13.71,7429.044
43,2013-10-26 16:00:00,13.7,13.71,13.2,13.2,5523.245
44,2013-10-27 16:00:00,13.15,13.65,13.0,13.5,9529.845
45,2013-10-28 16:00:00,13.4,13.54,13.2,13.22,3597.558
46,2013-10-29 16:00:00,13.22,14.1,13.2,13.98,7283.272
47,2013-10-30 16:00:00,13.75,14.4,13.44,13.9,5733.508
48,2013-10-31 16:00:00,14.13,15.3,14.1,14.9,18120.433
49,2013-11-01 16:00:00,14.79,15.7,14.77,15.56,19474.075
50,2013-11-02 16:00:00,15.56,19.99,15.43,19.3,114301.018
51,2013-11-03 16:00:00,19.3,19.42,17.5,18.9,68127.147
52,2013-11-04 16:00:00,18.75,19.55,18.71,19.12,45214.151
53,2013-11-05 16:00:00,19.1,25.0,18.66,20.8,113474.12
54,2013-11-06 16:00:00,21.0,29.88,20.8,27.49,398291.771
55,2013-11-07 16:00:00,27.41,29.8,27.32,29.3,259329.257
56,2013-11-08 16:00:00,29.3,29.9,28.52,29.23,251225.113
57,2013-11-09 16:00:00,29.2,30.8,20.08,22.52,287132.774
58,2013-11-10 16:00:00,22.52,26.19,21.8,25.53,137629.66
59,2013-11-11 16:00:00,25.66,26.92,25.2,26.44,126416.117
60,2013-11-12 16:00:00,26.44,27.45,26.31,26.75,120354.485
61,2013-11-13 16:00:00,26.77,28.28,26.4,26.98,214338.269
62,2013-11-14 16:00:00,27.0,28.2,26.96,27.36,165750.628
63,2013-11-15 16:00:00,27.35,27.65,26.9,27.11,128689.006
64,2013-11-16 16:00:00,27.08,27.65,27.03,27.32,167951.898
65,2013-11-17 16:00:00,27.28,49.7,27.0,48.6,1639187.944
66,2013-11-18 16:00:00,48.65,154.0,36.5,78.5,2368505.87300001
67,2013-11-19 16:00:00,78.7,78.75,40.0,57.5,1278786.94200001
68,2013-11-20 16:00:00,57.5,78.36,41.95,66.9,823405.51199999
69,2013-11-21 16:00:00,66.8,67.45,60.0,65.02,618470.908
70,2013-11-22 16:00:00,65.1,79.98,65.02,74.53,1178709.792
71,2013-11-23 16:00:00,74.56,75.88,65.0,70.99,795718.635
72,2013-11-24 16:00:00,70.91,71.2,68.8,69.8,284721.853
73,2013-11-25 16:00:00,69.88,92.41,68.5,87.98,1552593.945
74,2013-11-26 16:00:00,87.8,200.0,87.3,171.99,3506348.69499998
75,2013-11-27 16:00:00,172.0,380.0,160.0,330.0,3874063.01600002
76,2013-11-28 16:00:00,331.0,336.0,240.0,266.4,2413563.64000006
77,2013-11-29 16:00:00,266.01,290.0,220.0,252.01,2585262.75900009
78,2013-11-30 16:00:00,254.0,278.0,235.59,240.53,1812900.48300005
79,2013-12-01 16:00:00,240.56,240.56,120.0,205.5,4030263.85000046
80,2013-12-02 16:00:00,206.5,220.0,176.0,200.0,3257226.4260003
81,2013-12-03 16:00:00,198.3,262.0,196.0,251.0,4500247.48800013
82,2013-12-04 16:00:00,250.56,279.0,135.0,222.16,5447816.30500004
83,2013-12-05 16:00:00,222.0,235.5,207.74,208.4,2640635.02500013
84,2013-12-06 16:00:00,208.33,214.0,128.0,158.9,8437083.67099959
85,2013-12-07 16:00:00,158.8,169.0,141.49,157.51,5054960.83000033
86,2013-12-08 16:00:00,159.5,200.0,158.49,189.0,4776245.44000007
87,2013-12-09 16:00:00,188.87,216.0,188.35,206.5,4036730.68499977
88,2013-12-10 16:00:00,206.4,226.5,168.0,193.9,6933487.20599974
89,2013-12-11 16:00:00,193.65,202.9,181.5,195.66,4744483.14899984
90,2013-12-12 16:00:00,195.61,198.65,187.37,191.95,3735522.1729999
91,2013-12-13 16:00:00,191.93,194.0,181.01,184.77,3001992.86100012
92,2013-12-14 16:00:00,184.89,198.0,167.1,194.0,4699741.21999991
93,2013-12-15 16:00:00,193.29,195.99,170.0,170.3,6710276.41300004
94,2013-12-16 16:00:00,170.5,171.01,80.01,121.8,7523685.70100052
95,2013-12-17 16:00:00,121.5,132.4,40.5,86.9,7519160.91800036
96,2013-12-18 16:00:00,87.0,105.0,65.0,89.4,5275419.65600006
97,2013-12-19 16:00:00,89.55,127.88,88.11,108.0,3346873.17999998
98,2013-12-20 16:00:00,108.1,113.0,82.21,89.6,1617765.88300002
99,2013-12-21 16:00:00,90.0,101.8,87.0,94.2,1015592.55199998
100,2013-12-22 16:00:00,94.16,96.26,90.58,93.8,315426.728
101,2013-12-23 16:00:00,93.81,99.9,93.42,97.8,288816.767
102,2013-12-24 16:00:00,97.8,125.0,96.97,116.57,1112936.69299999
103,2013-12-25 16:00:00,116.57,142.8,116.33,142.02,1737174.00799998
104,2013-12-26 16:00:00,142.2,150.9,125.06,136.0,2029980.94699996
105,2013-12-27 16:00:00,136.25,138.88,130.01,136.39,432684.478
